cluster_label,corridor
core-utilization,Phoenix Valley -> Denver
core-utilization,Phoenix Valley -> Denver
core-utilization,Phoenix Valley -> Denver
core-utilization,Phoenix Valley -> Denver
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Detroit
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> Minneapolis
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> North Florida
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> San Antonio
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> South Florida
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Phoenix Valley -> St. Louis
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Chicago
core-utilization,Pittsburgh -> Nashville
core-utilization,Pittsburgh -> Nashville
core-utilization,Pittsburgh -> Nashville
core-utilization,Pittsburgh -> Nashville
core-utilization,Pittsburgh -> Nashville
core-utilization,Pittsburgh -> Nashville
core-utilization,Pittsburgh -> Nashville
core-utilization,Pittsburgh -> Nashville
core-utilization,Pittsburgh -> Nashville
core-utilization,Pittsburgh -> Nashville
core-utilization,Pittsburgh -> Nashville
core-utilization,Pittsburgh -> Nashville
