corridor,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cluster_id,cluster_label,annual_missions
Atlanta -> Boston,3.85,2.14,3.42,8.55,8.12,14.96,11.97,12.82,10.68,10.68,9.83,2.99,2,core-utilization,117.0
Boston -> Atlanta,2.99,2.99,4.27,5.98,8.97,11.97,10.26,11.97,14.96,8.97,10.26,6.41,2,core-utilization,117.0
New York City -> Dallas,2.78,4.63,8.33,6.48,10.19,10.65,7.87,7.87,13.43,11.57,7.87,8.33,2,core-utilization,108.0
Minneapolis -> Atlanta,4.72,6.13,3.77,10.85,9.91,14.15,8.02,7.08,9.43,13.21,7.55,5.19,2,core-utilization,106.0
Denver -> Detroit,5.88,5.88,6.37,8.33,8.33,10.29,11.27,10.29,13.73,8.82,7.84,2.94,2,core-utilization,102.0
Detroit -> Minneapolis,3.92,5.39,3.92,7.84,7.84,12.75,8.82,10.78,12.25,9.8,10.78,5.88,2,core-utilization,102.0
Boston -> St. Louis,6.0,3.0,5.5,8.0,7.5,8.5,9.0,12.0,11.5,13.0,10.5,5.5,2,core-utilization,100.0
St. Louis -> Charlotte,4.55,2.53,3.54,14.65,8.08,13.13,7.07,10.1,14.65,9.6,6.06,6.06,2,core-utilization,99.0
Nashville -> Boston,4.08,3.06,3.06,5.61,9.18,12.24,11.22,13.27,14.8,11.73,6.12,5.61,2,core-utilization,98.0
Chicago -> DMV,3.76,3.23,2.69,9.68,8.6,17.2,11.29,6.45,13.44,11.29,5.38,6.99,2,core-utilization,93.0
Chicago -> Philadelphia,2.29,4.0,7.43,6.86,9.71,9.71,6.86,14.29,13.71,10.29,9.71,5.14,2,core-utilization,87.5
St. Louis -> Boston,5.33,7.69,5.92,5.33,7.69,8.88,8.28,7.69,13.02,11.83,11.24,7.1,2,core-utilization,84.5
Houston -> Atlanta,8.33,2.38,4.17,7.74,9.52,10.71,6.55,8.93,7.14,14.88,14.29,5.36,2,core-utilization,84.0
Houston -> Nashville,1.89,4.4,7.55,6.92,10.69,8.81,7.55,8.81,9.43,15.09,15.09,3.77,2,core-utilization,79.5
Minneapolis -> DMV,5.44,4.08,6.12,7.48,5.44,14.97,7.48,12.93,8.84,9.52,12.93,4.76,2,core-utilization,73.5
San Antonio -> Chicago,2.78,4.17,7.64,7.64,6.94,6.94,9.03,11.81,15.28,11.81,10.42,5.56,2,core-utilization,72.0
Charlotte -> Detroit,2.86,4.29,9.29,7.14,7.14,8.57,12.86,5.0,12.14,10.0,12.86,7.86,2,core-utilization,70.0
DMV -> Minneapolis,9.56,3.68,2.94,9.56,10.29,11.76,8.82,9.56,11.76,8.82,8.09,5.15,2,core-utilization,68.0
Atlanta -> Philadelphia,5.47,4.69,10.94,8.59,7.81,14.06,7.81,7.03,6.25,13.28,9.38,4.69,2,core-utilization,64.0
Dallas -> Pittsburgh,5.31,7.96,7.96,3.54,9.73,7.96,6.19,10.62,9.73,12.39,13.27,5.31,2,core-utilization,56.5
Charlotte -> Minneapolis,6.31,2.7,8.11,6.31,6.31,15.32,10.81,10.81,7.21,10.81,8.11,7.21,2,core-utilization,55.5
Houston -> Detroit,7.62,2.86,6.67,6.67,10.48,3.81,8.57,13.33,14.29,10.48,9.52,5.71,2,core-utilization,52.5
