AircraftType,corridor,month,density_pct,cluster_label,slab,intensity
Light Jet,Dallas -> South Florida,Apr,9.66,winter-spring-peak,9%-12%,3
Light Jet,Dallas -> South Florida,May,11.2,winter-spring-peak,9%-12%,3
Light Jet,Dallas -> South Florida,Jun,7.21,winter-spring-peak,6%-9%,2
Light Jet,Dallas -> South Florida,Jul,4.14,winter-spring-peak,4%-6%,1
Light Jet,Dallas -> South Florida,Aug,5.52,winter-spring-peak,4%-6%,1
Light Jet,Dallas -> South Florida,Sep,4.14,winter-spring-peak,4%-6%,1
Light Jet,Dallas -> South Florida,Oct,5.67,winter-spring-peak,4%-6%,1
Light Jet,Dallas -> South Florida,Nov,8.74,winter-spring-peak,6%-9%,2
Light Jet,Dallas -> South Florida,Dec,10.58,winter-spring-peak,9%-12%,3
Light Jet,Denver -> North Florida,Jan,12.34,winter-spring-peak,12%-15%,4
Light Jet,Denver -> North Florida,Feb,12.34,winter-spring-peak,12%-15%,4
Light Jet,Denver -> North Florida,Mar,15.58,winter-spring-peak,> 15%,5
Light Jet,Denver -> North Florida,Apr,5.84,winter-spring-peak,4%-6%,1
Light Jet,Denver -> North Florida,May,5.84,winter-spring-peak,4%-6%,1
Light Jet,Denver -> North Florida,Jun,4.55,winter-spring-peak,4%-6%,1
Light Jet,Denver -> North Florida,Jul,9.09,winter-spring-peak,9%-12%,3
Light Jet,Denver -> North Florida,Aug,5.19,winter-spring-peak,4%-6%,1
Light Jet,Denver -> North Florida,Sep,9.09,winter-spring-peak,9%-12%,3
Light Jet,Denver -> North Florida,Oct,5.84,winter-spring-peak,4%-6%,1
Light Jet,Denver -> North Florida,Nov,4.55,winter-spring-peak,4%-6%,1
Light Jet,Denver -> North Florida,Dec,9.74,winter-spring-peak,9%-12%,3
Light Jet,Denver -> Phoenix Valley,Jan,7.97,winter-spring-peak,6%-9%,2
Light Jet,Denver -> Phoenix Valley,Feb,10.9,winter-spring-peak,9%-12%,3
Light Jet,Denver -> Phoenix Valley,Mar,14.47,winter-spring-peak,12%-15%,4
Light Jet,Denver -> Phoenix Valley,Apr,9.01,winter-spring-peak,9%-12%,3
Light Jet,Denver -> Phoenix Valley,May,8.18,winter-spring-peak,6%-9%,2
Light Jet,Denver -> Phoenix Valley,Jun,8.6,winter-spring-peak,6%-9%,2
Light Jet,Denver -> Phoenix Valley,Jul,3.98,winter-spring-peak,< 4%,0
Light Jet,Denver -> Phoenix Valley,Aug,6.08,winter-spring-peak,6%-9%,2
Light Jet,Denver -> Phoenix Valley,Sep,3.77,winter-spring-peak,< 4%,0
Light Jet,Denver -> Phoenix Valley,Oct,9.64,winter-spring-peak,9%-12%,3
Light Jet,Denver -> Phoenix Valley,Nov,8.39,winter-spring-peak,6%-9%,2
Light Jet,Denver -> Phoenix Valley,Dec,9.01,winter-spring-peak,9%-12%,3
Light Jet,Denver -> South Florida,Jan,15.91,winter-spring-peak,> 15%,5
Light Jet,Denver -> South Florida,Feb,11.93,winter-spring-peak,9%-12%,3
Light Jet,Denver -> South Florida,Mar,15.91,winter-spring-peak,> 15%,5
Light Jet,Denver -> South Florida,Apr,11.36,winter-spring-peak,9%-12%,3
Light Jet,Denver -> South Florida,May,4.55,winter-spring-peak,4%-6%,1
Light Jet,Denver -> South Florida,Jun,2.84,winter-spring-peak,< 4%,0
Light Jet,Denver -> South Florida,Jul,6.25,winter-spring-peak,6%-9%,2
Light Jet,Denver -> South Florida,Aug,5.11,winter-spring-peak,4%-6%,1
Light Jet,Denver -> South Florida,Sep,3.41,winter-spring-peak,< 4%,0
Light Jet,Denver -> South Florida,Oct,6.25,winter-spring-peak,6%-9%,2
Light Jet,Denver -> South Florida,Nov,3.98,winter-spring-peak,< 4%,0
Light Jet,Denver -> South Florida,Dec,12.5,winter-spring-peak,12%-15%,4
Light Jet,Detroit -> Phoenix Valley,Jan,8.57,winter-spring-peak,6%-9%,2
Light Jet,Detroit -> Phoenix Valley,Feb,11.43,winter-spring-peak,9%-12%,3
Light Jet,Detroit -> Phoenix Valley,Mar,8.57,winter-spring-peak,6%-9%,2
Light Jet,Detroit -> Phoenix Valley,Apr,5.71,winter-spring-peak,4%-6%,1
Light Jet,Detroit -> Phoenix Valley,May,5.71,winter-spring-peak,4%-6%,1
Light Jet,Detroit -> Phoenix Valley,Jun,5.71,winter-spring-peak,4%-6%,1
Light Jet,Detroit -> Phoenix Valley,Jul,5.71,winter-spring-peak,4%-6%,1
Light Jet,Detroit -> Phoenix Valley,Aug,5.71,winter-spring-peak,4%-6%,1
Light Jet,Detroit -> Phoenix Valley,Sep,11.43,winter-spring-peak,9%-12%,3
Light Jet,Detroit -> Phoenix Valley,Oct,2.86,winter-spring-peak,< 4%,0
Light Jet,Detroit -> Phoenix Valley,Nov,14.29,winter-spring-peak,12%-15%,4
Light Jet,Detroit -> Phoenix Valley,Dec,14.29,winter-spring-peak,12%-15%,4
Light Jet,Detroit -> South Florida,Jan,11.14,winter-spring-peak,9%-12%,3
Light Jet,Detroit -> South Florida,Feb,11.45,winter-spring-peak,9%-12%,3
Light Jet,Detroit -> South Florida,Mar,10.54,winter-spring-peak,9%-12%,3
Light Jet,Detroit -> South Florida,Apr,9.04,winter-spring-peak,9%-12%,3
Light Jet,Detroit -> South Florida,May,6.48,winter-spring-peak,6%-9%,2
Light Jet,Detroit -> South Florida,Jun,4.52,winter-spring-peak,4%-6%,1
Light Jet,Detroit -> South Florida,Jul,4.22,winter-spring-peak,4%-6%,1
Light Jet,Detroit -> South Florida,Aug,3.61,winter-spring-peak,< 4%,0
Light Jet,Detroit -> South Florida,Sep,5.42,winter-spring-peak,4%-6%,1
Light Jet,Detroit -> South Florida,Oct,9.34,winter-spring-peak,9%-12%,3
Light Jet,Detroit -> South Florida,Nov,10.69,winter-spring-peak,9%-12%,3
Light Jet,Detroit -> South Florida,Dec,13.55,winter-spring-peak,12%-15%,4
Light Jet,Houston -> Dallas,Jan,11.9,winter-spring-peak,9%-12%,3
Light Jet,Houston -> Dallas,Feb,12.7,winter-spring-peak,12%-15%,4
Light Jet,Houston -> Dallas,Mar,8.73,winter-spring-peak,6%-9%,2
Light Jet,Houston -> Dallas,Apr,11.9,winter-spring-peak,9%-12%,3
Light Jet,Houston -> Dallas,May,11.11,winter-spring-peak,9%-12%,3
Light Jet,Houston -> Dallas,Jun,3.17,winter-spring-peak,< 4%,0
Light Jet,Houston -> Dallas,Jul,3.17,winter-spring-peak,< 4%,0
Light Jet,Houston -> Dallas,Aug,2.38,winter-spring-peak,< 4%,0
Light Jet,Houston -> Dallas,Sep,5.56,winter-spring-peak,4%-6%,1
